Id;Num2DNeighbours;2DNeighbours;Num3DNeighbours;3DNeighbours
0;2;1;0;0
1;2;7;0;0
2;2;0;4;0
3;2;0;4294967295;0
4;2;4294967295;0;0
5;2;2;1;0
6;2;5;1;0
7;2;1;7;0
8;2;4294967295;1;0
9;2;9;2;0
10;2;11;2;0
11;2;2;5;0
12;2;4294967295;2;0
13;2;44;3;0
14;2;3;4294967295;0
15;2;3;4;0
16;2;6;3;0
17;2;3;46;0
18;2;4;4294967295;0
19;2;7;4;0
20;2;4;6;0
21;2;6;5;0
22;2;5;7;0
23;2;11;5;0
24;2;5;8;0
25;2;8;6;0
26;2;6;46;0
27;2;7;6;0
28;2;8;46;0
29;2;11;8;0
30;2;13;8;0
31;2;8;51;0
32;2;8;48;0
33;2;10;9;0
34;2;12;9;0
35;2;9;11;0
36;2;4294967295;9;0
37;2;15;10;0
38;2;17;10;0
39;2;10;12;0
40;2;4294967295;10;0
41;2;11;13;0
42;2;12;11;0
43;2;17;12;0
44;2;12;14;0
45;2;12;13;0
46;2;14;13;0
47;2;13;49;0
48;2;13;51;0
49;2;54;14;0
50;2;14;49;0
51;2;17;14;0
52;2;14;20;0
53;2;16;15;0
54;2;18;15;0
55;2;15;17;0
56;2;4294967295;15;0
57;2;4294967295;16;0
58;2;22;16;0
59;2;16;19;0
60;2;16;18;0
61;2;17;20;0
62;2;18;17;0
63;2;19;18;0
64;2;18;21;0
65;2;18;20;0
66;2;24;19;0
67;2;26;19;0
68;2;19;21;0
69;2;22;19;0
70;2;21;20;0
71;2;20;55;0
72;2;20;54;0
73;2;60;21;0
74;2;21;55;0
75;2;26;21;0
76;2;23;22;0
77;2;22;24;0
78;2;4294967295;22;0
79;2;4294967295;23;0
80;2;28;23;0
81;2;23;25;0
82;2;23;24;0
83;2;25;24;0
84;2;27;24;0
85;2;24;26;0
86;2;30;25;0
87;2;25;32;0
88;2;25;27;0
89;2;28;25;0
90;2;27;26;0
91;2;26;61;0
92;2;26;60;0
93;2;32;27;0
94;2;27;62;0
95;2;27;61;0
96;2;29;28;0
97;2;28;30;0
98;2;4294967295;28;0
99;2;4294967295;29;0
100;2;35;29;0
101;2;29;31;0
102;2;29;30;0
103;2;31;30;0
104;2;33;30;0
105;2;30;32;0
106;2;31;33;0
107;2;35;31;0
108;2;39;31;0
109;2;31;42;0
110;2;33;32;0
111;2;66;32;0
112;2;32;62;0
113;2;42;33;0
114;2;33;68;0
115;2;33;66;0
116;2;4294967295;34;0
117;2;37;34;0
118;2;41;34;0
119;2;34;36;0
120;2;4294967295;34;0
121;2;36;35;0
122;2;35;39;0
123;2;4294967295;35;0
124;2;41;36;0
125;2;36;39;0
126;2;36;4294967295;0
127;2;4294967295;37;0
128;2;38;37;0
129;2;37;40;0
130;2;37;41;0
131;2;4294967295;38;0
132;2;71;38;0
133;2;73;38;0
134;2;38;40;0
135;2;40;39;0
136;2;39;42;0
137;2;41;39;0
138;2;73;40;0
139;2;40;42;0
140;2;40;41;0
141;2;73;42;0
142;2;75;42;0
143;2;42;68;0
144;2;45;43;0
145;2;80;43;0
146;2;43;78;0
147;2;43;4294967295;0
148;2;44;43;0
149;2;44;45;0
150;2;44;4294967295;0
151;2;46;44;0
152;2;46;45;0
153;2;48;45;0
154;2;45;47;0
155;2;45;80;0
156;2;48;46;0
157;2;48;47;0
158;2;47;50;0
159;2;84;47;0
160;2;82;47;0
161;2;47;80;0
162;2;48;50;0
163;2;51;48;0
164;2;53;49;0
165;2;49;50;0
166;2;49;51;0
167;2;54;49;0
168;2;53;50;0
169;2;52;50;0
170;2;50;84;0
171;2;51;50;0
172;2;52;84;0
173;2;53;52;0
174;2;52;89;0
175;2;52;86;0
176;2;54;53;0
177;2;53;56;0
178;2;53;89;0
179;2;54;56;0
180;2;55;54;0
181;2;60;55;0
182;2;55;57;0
183;2;55;56;0
184;2;57;56;0
185;2;58;56;0
186;2;56;89;0
187;2;57;58;0
188;2;60;57;0
189;2;63;57;0
190;2;57;59;0
191;2;59;58;0
192;2;90;58;0
193;2;58;92;0
194;2;58;89;0
195;2;65;59;0
196;2;99;59;0
197;2;59;90;0
198;2;63;59;0
199;2;61;60;0
200;2;60;63;0
201;2;62;61;0
202;2;64;61;0
203;2;61;63;0
204;2;66;62;0
205;2;62;69;0
206;2;62;64;0
207;2;64;63;0
208;2;63;65;0
209;2;69;64;0
210;2;95;64;0
211;2;64;65;0
212;2;95;65;0
213;2;65;100;0
214;2;65;99;0
215;2;67;66;0
216;2;70;66;0
217;2;66;69;0
218;2;68;66;0
219;2;68;67;0
220;2;75;67;0
221;2;67;76;0
222;2;102;67;0
223;2;67;70;0
224;2;75;68;0
225;2;69;95;0
226;2;70;69;0
227;2;104;70;0
228;2;70;95;0
229;2;102;70;0
230;2;4294967295;71;0
231;2;72;71;0
232;2;74;71;0
233;2;71;73;0
234;2;4294967295;72;0
235;2;106;72;0
236;2;108;72;0
237;2;72;74;0
238;2;74;73;0
239;2;73;75;0
240;2;74;75;0
241;2;108;74;0
242;2;74;76;0
243;2;75;76;0
244;2;108;76;0
245;2;111;76;0
246;2;76;102;0
247;2;79;77;0
248;2;117;77;0
249;2;77;114;0
250;2;77;4294967295;0
251;2;78;77;0
252;2;78;79;0
253;2;78;4294967295;0
254;2;80;78;0
255;2;80;79;0
256;2;82;79;0
257;2;79;81;0
258;2;79;117;0
259;2;82;80;0
260;2;82;81;0
261;2;83;81;0
262;2;81;122;0
263;2;81;119;0
264;2;81;117;0
265;2;82;83;0
266;2;84;82;0
267;2;84;83;0
268;2;86;83;0
269;2;85;83;0
270;2;83;122;0
271;2;86;84;0
272;2;86;85;0
273;2;88;85;0
274;2;85;87;0
275;2;124;85;0
276;2;85;122;0
277;2;89;86;0
278;2;86;88;0
279;2;91;87;0
280;2;128;87;0
281;2;126;87;0
282;2;87;124;0
283;2;88;87;0
284;2;92;88;0
285;2;88;91;0
286;2;89;88;0
287;2;92;89;0
288;2;99;90;0
289;2;90;94;0
290;2;91;90;0
291;2;90;92;0
292;2;91;128;0
293;2;92;91;0
294;2;94;91;0
295;2;91;93;0
296;2;94;93;0
297;2;101;93;0
298;2;93;130;0
299;2;93;128;0
300;2;99;94;0
301;2;98;94;0
302;2;94;101;0
303;2;104;95;0
304;2;95;96;0
305;2;95;100;0
306;2;104;96;0
307;2;96;105;0
308;2;96;97;0
309;2;98;96;0
310;2;96;100;0
311;2;105;97;0
312;2;139;97;0
313;2;97;131;0
314;2;133;97;0
315;2;97;98;0
316;2;98;101;0
317;2;99;98;0
318;2;98;100;0
319;2;133;98;0
320;2;100;99;0
321;2;133;101;0
322;2;101;130;0
323;2;102;104;0
324;2;111;102;0
325;2;102;103;0
326;2;111;103;0
327;2;103;112;0
328;2;136;103;0
329;2;103;105;0
330;2;103;104;0
331;2;104;105;0
332;2;136;105;0
333;2;105;139;0
334;2;4294967295;106;0
335;2;107;106;0
336;2;109;106;0
337;2;106;108;0
338;2;4294967295;107;0
339;2;141;107;0
340;2;107;110;0
341;2;107;109;0
342;2;109;108;0
343;2;108;111;0
344;2;110;109;0
345;2;112;109;0
346;2;109;111;0
347;2;110;112;0
348;2;141;110;0
349;2;143;110;0
350;2;110;145;0
351;2;111;112;0
352;2;145;112;0
353;2;112;136;0
354;2;148;113;0
355;2;113;4294967295;0
356;2;114;113;0
357;2;116;113;0
358;2;113;115;0
359;2;114;116;0
360;2;114;4294967295;0
361;2;117;114;0
362;2;118;115;0
363;2;152;115;0
364;2;115;150;0
365;2;115;148;0
366;2;116;115;0
367;2;117;116;0
368;2;119;116;0
369;2;116;118;0
370;2;119;117;0
371;2;119;118;0
372;2;118;121;0
373;2;120;118;0
374;2;118;152;0
375;2;119;121;0
376;2;122;119;0
377;2;123;120;0
378;2;120;156;0
379;2;120;154;0
380;2;120;152;0
381;2;121;120;0
382;2;122;121;0
383;2;124;121;0
384;2;121;123;0
385;2;124;122;0
386;2;123;156;0
387;2;124;123;0
388;2;126;123;0
389;2;123;125;0
390;2;126;124;0
391;2;126;125;0
392;2;125;129;0
393;2;125;163;0
394;2;161;125;0
395;2;125;157;0
396;2;125;156;0
397;2;128;126;0
398;2;126;129;0
399;2;163;127;0
400;2;129;127;0
401;2;127;128;0
402;2;130;127;0
403;2;134;127;0
404;2;127;162;0
405;2;128;129;0
406;2;130;128;0
407;2;129;163;0
408;2;133;130;0
409;2;130;134;0
410;2;131;135;0
411;2;131;133;0
412;2;139;131;0
413;2;140;131;0
414;2;131;132;0
415;2;167;132;0
416;2;132;169;0
417;2;132;135;0
418;2;140;132;0
419;2;174;132;0
420;2;132;173;0
421;2;135;133;0
422;2;133;134;0
423;2;135;134;0
424;2;169;134;0
425;2;134;162;0
426;2;169;135;0
427;2;136;139;0
428;2;145;136;0
429;2;136;137;0
430;2;138;137;0
431;2;140;137;0
432;2;137;139;0
433;2;145;137;0
434;2;137;146;0
435;2;179;138;0
436;2;138;170;0
437;2;174;138;0
438;2;138;140;0
439;2;146;138;0
440;2;139;140;0
441;2;140;174;0
442;2;4294967295;141;0
443;2;141;142;0
444;2;141;143;0
445;2;4294967295;142;0
446;2;175;142;0
447;2;142;144;0
448;2;142;143;0
449;2;144;143;0
450;2;146;143;0
451;2;143;145;0
452;2;177;144;0
453;2;179;144;0
454;2;144;146;0
455;2;175;144;0
456;2;145;146;0
457;2;146;179;0
458;2;183;147;0
459;2;147;4294967295;0
460;2;148;147;0
461;2;150;147;0
462;2;147;149;0
463;2;148;4294967295;0
464;2;150;148;0
465;2;151;149;0
466;2;149;189;0
467;2;149;187;0
468;2;149;183;0
469;2;150;149;0
470;2;150;151;0
471;2;152;150;0
472;2;152;151;0
473;2;151;154;0
474;2;155;151;0
475;2;151;189;0
476;2;154;152;0
477;2;195;153;0
478;2;153;155;0
479;2;154;153;0
480;2;157;153;0
481;2;159;153;0
482;2;153;194;0
483;2;156;154;0
484;2;154;157;0
485;2;154;155;0
486;2;195;155;0
487;2;155;189;0
488;2;157;156;0
489;2;157;159;0
490;2;161;157;0
491;2;159;158;0
492;2;158;161;0
493;2;160;158;0
494;2;166;158;0
495;2;158;200;0
496;2;201;158;0
497;2;201;159;0
498;2;159;194;0
499;2;161;159;0
500;2;168;160;0
501;2;160;166;0
502;2;161;160;0
503;2;163;160;0
504;2;160;162;0
505;2;163;161;0
506;2;169;162;0
507;2;162;168;0
508;2;162;163;0
509;2;173;164;0
510;2;164;171;0
511;2;214;164;0
512;2;207;164;0
513;2;164;165;0
514;2;167;164;0
515;2;207;165;0
516;2;165;208;0
517;2;166;165;0
518;2;168;165;0
519;2;165;167;0
520;2;208;166;0
521;2;166;200;0
522;2;168;166;0
523;2;168;167;0
524;2;167;169;0
525;2;173;167;0
526;2;169;168;0
527;2;170;171;0
528;2;170;174;0
529;2;179;170;0
530;2;180;170;0
531;2;170;172;0
532;2;172;171;0
533;2;213;171;0
534;2;171;214;0
535;2;173;171;0
536;2;171;174;0
537;2;172;213;0
538;2;180;172;0
539;2;172;223;0
540;2;174;173;0
541;2;4294967295;175;0
542;2;175;176;0
543;2;175;177;0
544;2;4294967295;176;0
545;2;216;176;0
546;2;176;178;0
547;2;176;177;0
548;2;178;177;0
549;2;180;177;0
550;2;177;179;0
551;2;220;178;0
552;2;223;178;0
553;2;178;180;0
554;2;216;178;0
555;2;179;180;0
556;2;180;223;0
557;2;181;4294967295;0
558;2;182;181;0
559;2;188;181;0
560;2;181;185;0
561;2;181;4294967295;0
562;2;4294967295;182;0
563;2;183;182;0
564;2;187;182;0
565;2;182;188;0
566;2;183;4294967295;0
567;2;187;183;0
568;2;193;184;0
569;2;191;184;0
570;2;184;4294967295;0
571;2;184;185;0
572;2;184;186;0
573;2;188;185;0
574;2;185;186;0
575;2;185;4294967295;0
576;2;189;186;0
577;2;186;193;0
578;2;188;186;0
