Id;Marker;Active;Origin;End
0;0;1;1;2
1;8;1;0;2
2;5;1;0;3
3;0;1;3;4
4;0;1;1;4
5;0;1;5;6
6;0;1;6;7
7;0;1;1;7
8;0;1;4;5
9;5;1;3;8
10;0;1;8;9
11;0;1;5;9
12;0;1;10;11
13;0;1;6;11
14;0;1;9;12
15;0;1;10;12
16;5;1;8;13
17;0;1;13;14
18;0;1;12;14
19;0;1;15;17
20;0;1;16;17
21;0;1;10;16
22;0;1;14;15
23;0;1;18;19
24;0;1;15;19
25;5;1;13;18
26;0;1;20;21
27;0;1;21;22
28;0;1;19;22
29;5;1;18;20
30;0;1;23;24
31;0;1;17;24
32;0;1;22;23
33;0;1;25;26
34;0;1;26;27
35;0;1;21;27
36;5;1;20;25
37;0;1;27;28
38;0;1;28;29
39;0;1;23;29
40;6;1;30;31
41;0;1;31;32
42;0;1;26;32
43;5;1;25;30
44;0;1;28;33
45;0;1;32;33
46;0;1;34;35
47;8;1;2;35
48;0;1;7;34
49;0;1;11;37
50;0;1;36;37
51;0;1;34;36
52;0;1;37;38
53;0;1;16;39
54;0;1;39;40
55;0;1;38;40
56;0;1;41;42
57;0;1;39;42
58;0;1;24;41
59;0;1;29;45
60;0;1;44;45
61;0;1;43;44
62;0;1;41;43
63;6;1;31;47
64;0;1;46;47
65;0;1;33;46
66;0;1;46;48
67;0;1;45;48
68;0;1;50;52
69;0;1;52;53
70;0;1;51;53
71;8;1;49;51
72;0;1;49;50
73;8;1;35;49
74;0;1;36;50
75;0;1;38;54
76;0;1;52;54
77;0;1;40;55
78;0;1;55;56
79;0;1;56;57
80;0;1;54;57
81;0;1;42;58
82;0;1;55;58
83;0;1;59;60
84;0;1;58;60
85;0;1;43;59
86;0;1;44;62
87;0;1;61;62
88;0;1;61;63
89;0;1;59;63
90;6;1;47;65
91;0;1;64;65
92;0;1;48;64
93;0;1;64;66
94;0;1;62;66
95;0;1;67;68
96;8;1;51;68
97;0;1;53;69
98;0;1;67;69
99;0;1;57;70
100;0;1;69;70
101;0;1;71;72
102;0;1;56;72
103;0;1;60;71
104;0;1;63;73
105;0;1;71;73
106;6;1;65;75
107;0;1;74;75
108;0;1;66;74
109;6;1;75;76
110;0;1;76;77
111;0;1;77;78
112;0;1;74;78
113;0;1;78;79
114;0;1;61;79
115;0;1;80;81
116;8;1;68;81
117;0;1;67;82
118;0;1;80;82
119;0;1;70;83
120;0;1;83;84
121;0;1;82;84
122;0;1;72;86
123;0;1;85;86
124;0;1;83;85
125;0;1;73;87
126;0;1;87;88
127;0;1;86;88
128;0;1;79;89
129;0;1;89;90
130;0;1;87;90
131;6;1;76;91
132;0;1;91;92
133;0;1;92;93
134;0;1;77;93
135;0;1;93;94
136;0;1;89;94
137;7;1;95;96
138;8;1;81;96
139;0;1;80;97
140;0;1;95;97
141;0;1;97;98
142;0;1;84;98
143;7;1;95;99
144;0;1;98;100
145;0;1;99;100
146;0;1;85;101
147;0;1;100;101
148;0;1;102;103
149;0;1;102;105
150;0;1;105;106
151;0;1;104;106
152;7;1;103;104
153;7;1;99;103
154;0;1;101;102
155;0;1;88;105
156;0;1;107;109
157;0;1;108;109
158;7;1;104;108
159;0;1;106;107
160;0;1;90;107
161;0;1;110;112
162;0;1;111;112
163;7;1;108;111
164;0;1;109;110
165;0;1;94;110
166;7;1;111;113
167;0;1;92;112
168;6;1;91;113
