Id;Marker;Active;X;Y;Z
0;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;5;1;1.5625000000000000e-02;0.0000000000000000e+00;0.0000000000000000e+00
2;5;1;3.1250000000000000e-02;0.0000000000000000e+00;0.0000000000000000e+00
3;5;1;4.6875000000000000e-02;0.0000000000000000e+00;0.0000000000000000e+00
4;5;1;6.2500000000000000e-02;0.0000000000000000e+00;0.0000000000000000e+00
5;5;1;7.8125000000000000e-02;0.0000000000000000e+00;0.0000000000000000e+00
6;5;1;9.3750000000000000e-02;0.0000000000000000e+00;0.0000000000000000e+00
7;5;1;1.0937500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
8;5;1;1.2500000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
9;5;1;1.4062500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
10;5;1;1.5625000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
11;5;1;1.7187500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
12;5;1;1.8750000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
13;5;1;2.0312500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
14;5;1;2.1875000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
15;5;1;2.3437500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
16;5;1;2.5000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
17;5;1;2.6562500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
18;5;1;2.8125000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
19;5;1;2.9687500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
20;5;1;3.1250000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
21;5;1;3.2812500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
22;5;1;3.4375000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
23;5;1;3.5937500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
24;5;1;3.7500000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
25;5;1;3.9062500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
26;5;1;4.0625000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
27;5;1;4.2187500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
28;5;1;4.3750000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
29;5;1;4.5312500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
30;5;1;4.6875000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
31;5;1;4.8437500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
32;5;1;5.0000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
33;5;1;5.1562500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
34;5;1;5.3125000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
35;5;1;5.4687500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
36;5;1;5.6250000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
37;5;1;5.7812500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
38;5;1;5.9375000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
39;5;1;6.0937500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
40;5;1;6.2500000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
41;5;1;6.4062500000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
